feature,coefficient,absolute_coefficient,odds_ratio
ORGANIZATION_TYPE_Industry: type 10,-0.13464706985143277,0.13464706985143277,0.8740243267958456
ORGANIZATION_TYPE_Medicine,-0.13222080485413037,0.13222080485413037,0.8761475160951219
NAME_FAMILY_STATUS_Single / not married,-0.13003850472426337,0.13003850472426337,0.8780616207490466
ORGANIZATION_TYPE_Telecom,0.1299618341775056,0.1299618341775056,1.1387849198321076
NAME_HOUSING_TYPE_With parents,-0.12718143489428935,0.12718143489428935,0.8805738912717644
ORGANIZATION_TYPE_Mobile,-0.12405916232472929,0.12405916232472929,0.8833275796237093
ORGANIZATION_TYPE_Postal,-0.12078271867569623,0.12078271867569623,0.8862264991418606
missingindicator_EXT_SOURCE_1,0.11702442970381839,0.11702442970381839,1.1241468919307065
ORGANIZATION_TYPE_Business Entity Type 1,-0.11299852119738248,0.11299852119738248,0.8931519809105262
ORGANIZATION_TYPE_Industry: type 1,0.1063520791317276,0.1063520791317276,1.1122133947060966
ORGANIZATION_TYPE_Self-employed,0.10347743183108257,0.10347743183108257,1.1090207645146948
ORGANIZATION_TYPE_Industry: type 4,-0.10178950220862262,0.10178950220862262,0.9032196574027682
ORGANIZATION_TYPE_Religion,-0.10095783693674365,0.10095783693674365,0.9039711462749921
EMPLOYMENT_YEARS,-0.10082573857405797,0.10082573857405797,0.9040905672708155
CNT_FAM_MEMBERS,-0.09422347937927547,0.09422347937927547,0.910079355543544
CNT_CHILDREN,0.09340084468888024,0.09340084468888024,1.0979017351558311
ORGANIZATION_TYPE_Other,-0.08843388045341584,0.08843388045341584,0.9153636321634692
EXT_SOURCE_MISSING_COUNT,0.08819173200744512,0.08819173200744512,1.0921975111755995
ORGANIZATION_TYPE_Agriculture,0.08491394318803547,0.08491394318803547,1.0886233792097884
CREDIT_INCOME_RATIO,-0.0760905415951947,0.0760905415951947,0.9267322949403913
ORGANIZATION_TYPE_Industry: type 11,-0.07542884920695339,0.07542884920695339,0.9273457095694049
NAME_INCOME_TYPE_Maternity leave,-0.0667060203953096,0.0667060203953096,0.935470170067993
ORGANIZATION_TYPE_Electricity,-0.06533209700517471,0.06533209700517471,0.9367563177472947
REGION_RATING_CLIENT,-0.06516264150316768,0.06516264150316768,0.9369150697096937
REGISTRATION_YEARS,-0.04923860568531877,0.04923860568531877,0.9519539609704584
ORGANIZATION_TYPE_Trade: type 1,0.04779049386508948,0.04779049386508948,1.0489508706595336
ORGANIZATION_TYPE_Transport: type 2,-0.04767246266780979,0.04767246266780979,0.9534460251073587
missingindicator_ANNUITY_INCOME_RATIO,-0.04209319535050205,0.04209319535050205,0.9587804225311399
ID_PUBLISH_YEARS,-0.041659236296553444,0.041659236296553444,0.9591965842682919
EMPLOYMENT_AGE_RATIO,-0.04111439746726654,0.04111439746726654,0.9597193342066214
ORGANIZATION_TYPE_Housing,-0.03943802979656215,0.03943802979656215,0.9613295259310293
FLAG_OWN_REALTY_Y,0.03858668216071623,0.03858668216071623,1.0393408167611162
ORGANIZATION_TYPE_Industry: type 3,0.03832778078734744,0.03832778078734744,1.0390717648267191
ORGANIZATION_TYPE_Industry: type 13,0.037504471852052565,0.037504471852052565,1.038216639822656
ORGANIZATION_TYPE_Restaurant,0.03723216229562968,0.03723216229562968,1.0379339619996781
OCCUPATION_TYPE_Private service staff,0.03184870158851179,0.03184870158851179,1.0323612988639232
NAME_HOUSING_TYPE_Municipal apartment,-0.02836990567667709,0.02836990567667709,0.9720287413422823
ORGANIZATION_TYPE_Transport: type 4,-0.02679745523528776,0.02679745523528776,0.973558410715101
ORGANIZATION_TYPE_Trade: type 7,0.021325312321652704,0.021325312321652704,1.021554321796928
ORGANIZATION_TYPE_Business Entity Type 3,0.01836903264033377,0.01836903264033377,1.018538781099098
AGE_YEARS,-0.013910297532406721,0.013910297532406721,0.9861860036133216
NAME_HOUSING_TYPE_Rented apartment,-0.01324883544395437,0.01324883544395437,0.9868385440584647
missingindicator_EXT_SOURCE_2,0.01232541894413721,0.01232541894413721,1.0124016899554815
ORGANIZATION_TYPE_Culture,-0.01118398564359082,0.01118398564359082,0.9888783226226013
missingindicator_CNT_FAM_MEMBERS,-0.010855746849778563,0.010855746849778563,0.9892029641274993
REGION_POPULATION_RELATIVE,0.010265844025842814,0.010265844025842814,1.0103187185817128
missingindicator_GOODS_CREDIT_RATIO,0.010143330907530897,0.010143330907530897,1.0101949488668722
ORGANIZATION_TYPE_Trade: type 3,0.003810045774413016,0.003810045774413016,1.0038173132256574
ORGANIZATION_TYPE_Security,-0.0036884609499932067,0.0036884609499932067,0.9963183330663751
ORGANIZATION_TYPE_Business Entity Type 2,-0.0034872912620262358,0.0034872912620262358,0.9965187822760302
missingindicator_EXT_SOURCE_3,-0.003357691766235686,0.003357691766235686,0.9966479389768998
BUREAU_INQUIRY_TOTAL,0.002518161011919722,0.002518161011919722,1.00252133424237
NAME_FAMILY_STATUS_Unknown,-5.225032104025355e-05,5.225032104025355e-05,0.999947751043984
